WUC,POS,WUCPubId,WUCLaunchPoints
1111A10,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E53-50-0370-01AA-520A-A
1111A10,,E2HAWKEYEE2D-26512-02161-00,DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-03AA-320A-A
1113100,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E52-10-0325-01AA-520A-A
1113200,,E2HAWKEYEE2D-26512-02140-00,DMC-E2HAWKEYEE2D-AAAA-E95-20-0015-01AA-520A-A
11135,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E52-10-0325-01AA-520A-A
1113600,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E52-10-0255-01AA-520A-A
1113C00,,E2HAWKEYEE2D-26512-02140-00,DMC-E2HAWKEYEE2D-AAAA-E95-20-0055-01AA-520A-A
1113E00,,E2HAWKEYEE2D-26512-02140-00,DMC-E2HAWKEYEE2D-AAAA-E95-20-0015-01AA-520A-A
11161,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E53-50-0396-01AA-520A-A
11161,,E2HAWKEYEE2D-26512-02161-00,DMC-E2HAWKEYEE2D-AAAA-E92-01-0000-03AA-320A-A
11315,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E27-20-0000-01AA-320A-A#DMC-E2HAWKEYEE2D-AAAA-E27-30-0000-01AA-320A-A
11315,,E2HAWKEYEE2D-26512-02050-00,DMC-E2HAWKEYEE2D-AAAA-E32-40-0250-01AA-320A-A
11315,,E2HAWKEYEE2D-26512-02167-00,DMC-E2HAWKEYEE2D-AAAA-E22-11-0000-05AA-320A-A
11320,,E2HAWKEYEE2D-26512-02166-00,DMC-E2HAWKEYEE2D-AAAA-E99-51-0000-01AA-320A-A
1132270,LH,E2HAWKEYEE2D-26512-02166-00,DMC-E2HAWKEYEE2D-AAAA-E99-51-0000-01AA-320A-A
1132270,RH,E2HAWKEYEE2D-26512-02166-00,DMC-E2HAWKEYEE2D-AAAA-E99-51-0000-01AA-320A-A
1191J10,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1191J10,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-80-0230-01AA-520A-A
1191J20,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1191J20,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-80-0230-01AA-520A-A
11921,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
11921,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-80-0140-01AA-520A-A
11922,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
11922,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-80-0148-01AA-520A-A
1192310,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1192310,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-80-0175-01AA-520A-A
1192320,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1192320,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-80-0175-01AA-520A-A
1192400,,E2HAWKEYEE2D-26512-02020-00,DMC-E2HAWKEYEE2D-AAAA-E57-01-0000-02AA-320A-A
1192400,,E2HAWKEYEE2D-26512-02030-00,DMC-E2HAWKEYEE2D-AAAA-E57-80-0160-01AA-520A-A
